/Users/velocityworks/PycharmProjects/z_metric/.venv/bin/python /Users/velocityworks/PycharmProjects/z_metric/src/main/sandbox/main.py
🚀 Bootstrapping 360-prime wheel...
✅ Wheel initialized with 360 primes (up to 2423)
🌟 COLLISION! Prime 3461 at position 221 (collision #124)
🌟 COLLISION! Prime 3463 at position 223 (collision #125)
🌟 COLLISION! Prime 3467 at position 227 (collision #126)
🌟 COLLISION! Prime 3469 at position 229 (collision #127)
🌟 COLLISION! Prime 3491 at position 251 (collision #128)
🌟 COLLISION! Prime 3499 at position 259 (collision #129)
🌟 COLLISION! Prime 3511 at position 271 (collision #130)
🌟 COLLISION! Prime 3517 at position 277 (collision #131)
🌟 COLLISION! Prime 3527 at position 287 (collision #132)
🌟 COLLISION! Prime 3529 at position 289 (collision #133)
🌟 COLLISION! Prime 3533 at position 293 (collision #134)
🌟 COLLISION! Prime 3539 at position 299 (collision #135)
🌟 COLLISION! Prime 3541 at position 301 (collision #136)
🌟 COLLISION! Prime 3547 at position 307 (collision #137)
🌟 COLLISION! Prime 3557 at position 317 (collision #138)
🌟 COLLISION! Prime 3559 at position 319 (collision #139)
🌟 COLLISION! Prime 3571 at position 331 (collision #140)
🌟 COLLISION! Prime 3581 at position 341 (collision #141)
🌟 COLLISION! Prime 3583 at position 343 (collision #142)
🌟 COLLISION! Prime 3593 at position 353 (collision #143)
🌟 COLLISION! Prime 3607 at position 7 (collision #144)
🌟 COLLISION! Prime 3613 at position 13 (collision #145)
🌟 COLLISION! Prime 3617 at position 17 (collision #146)
🌟 COLLISION! Prime 3623 at position 23 (collision #147)
🌟 COLLISION! Prime 3631 at position 31 (collision #148)
🌟 COLLISION! Prime 3637 at position 37 (collision #149)
🌟 COLLISION! Prime 3643 at position 43 (collision #150)
🌟 COLLISION! Prime 3659 at position 59 (collision #151)
🌟 COLLISION! Prime 3671 at position 71 (collision #152)
🌟 COLLISION! Prime 3673 at position 73 (collision #153)
🌟 COLLISION! Prime 3677 at position 77 (collision #154)
🌟 COLLISION! Prime 3691 at position 91 (collision #155)
🌟 COLLISION! Prime 3697 at position 97 (collision #156)
🌟 COLLISION! Prime 3701 at position 101 (collision #157)
🌟 COLLISION! Prime 3709 at position 109 (collision #158)
🌟 COLLISION! Prime 3719 at position 119 (collision #159)
🌟 COLLISION! Prime 3727 at position 127 (collision #160)
🌟 COLLISION! Prime 3733 at position 133 (collision #161)
🌟 COLLISION! Prime 3739 at position 139 (collision #162)
🌟 COLLISION! Prime 3761 at position 161 (collision #163)
🌟 COLLISION! Prime 3767 at position 167 (collision #164)
🌟 COLLISION! Prime 3769 at position 169 (collision #165)
🌟 COLLISION! Prime 3779 at position 179 (collision #166)
🌟 COLLISION! Prime 3793 at position 193 (collision #167)
🌟 COLLISION! Prime 3797 at position 197 (collision #168)
🌟 COLLISION! Prime 3803 at position 203 (collision #169)
🌟 COLLISION! Prime 3821 at position 221 (collision #170)
🌟 COLLISION! Prime 3823 at position 223 (collision #171)
🌟 COLLISION! Prime 3833 at position 233 (collision #172)
🌟 COLLISION! Prime 3847 at position 247 (collision #173)
🌟 COLLISION! Prime 3851 at position 251 (collision #174)
🌟 COLLISION! Prime 3853 at position 253 (collision #175)
🌟 COLLISION! Prime 3863 at position 263 (collision #176)
🌟 COLLISION! Prime 3877 at position 277 (collision #177)
🌟 COLLISION! Prime 3881 at position 281 (collision #178)
