n,is_prime,was_skipped,z1_score,z4_score
46567,1,False,0.5265828714515935,2.2336595529940277
46568,0,True,2.0013016173580866,11.827659798511032
46569,0,False,1.0006508086790433,5.913829899255516
46570,0,False,0.6671005391193623,3.942553266170344
46571,0,False,0.5003254043395217,2.956914949627758
46572,0,False,0.4002603234716174,2.3655319597022064
46573,1,False,0.33355026955968115,1.971276633085172
46574,0,True,5.533248858969173,21.63486976075831
46575,0,True,2.7666244294845863,10.817434880379155
46576,0,True,1.8444162863230575,7.2116232535861045
46577,0,False,1.3833122147422932,5.4087174401895775
46578,0,False,1.1066497717938344,4.326973952151662
46579,0,False,0.9222081431615288,3.6058116267930522
46580,0,False,0.7904641227098819,3.0906956801083303
46581,0,False,0.6916561073711466,2.7043587200947887
46582,0,False,0.6148054287743525,2.403874417862035
46583,0,False,0.5533248858969172,2.163486976075831
46584,0,False,0.503022623542652,1.9668063418871193
46585,0,False,0.4611040715807644,1.8029058133965261
46586,0,False,0.42563452761301324,1.6642207508275624
46587,0,False,0.39523206135494093,1.5453478400541651
46588,0,False,0.3688832572646115,1.4423246507172207
46589,1,False,0.3458280536855733,1.3521793600473944
46590,0,True,1.1367709936360508,9.808970083662741
46591,1,False,0.5683854968180254,4.904485041831371
46592,0,True,2.1610564573225783,12.238580766007535
46593,0,False,1.0805282286612892,6.119290383003768
46594,0,False,0.7203521524408594,4.079526922002512
46595,0,False,0.5402641143306446,3.059645191501884
46596,0,False,0.43221129146451565,2.4477161532015073
46597,0,False,0.3601760762204297,2.039763461001256
46598,0,False,0.30872235104608264,1.7483686808582195
46599,0,False,0.2701320571653223,1.529822595750942
46600,0,False,0.24011738414695316,1.3598423073341706
46601,1,False,0.21610564573225782,1.2238580766007536
46602,0,True,1.2083334387134208,9.957891367986722
46603,0,False,0.6041667193567104,4.978945683993361
46604,0,False,0.40277781290447356,3.3192971226622405
46605,0,False,0.3020833596783552,2.4894728419966805
46606,0,False,0.24166668774268418,1.9915782735973446
46607,0,False,0.20138890645223678,1.6596485613311203
46608,0,False,0.17261906267334584,1.422555909712389
46609,0,False,0.1510416798391776,1.2447364209983403
46610,0,False,0.13425927096815787,1.106432374220747
46611,0,False,0.12083334387134209,0.9957891367986723
46612,0,False,0.1098484944284928,0.9052628516351566
46613,0,False,0.10069445322611839,0.8298242806655601
46614,0,False,0.09294872605487853,0.7659916436912865
46615,0,False,0.08630953133667292,0.7112779548561945
46616,0,False,0.08055556258089472,0.6638594245324482
46617,0,False,0.0755208399195888,0.6223682104991701
46618,0,False,0.07107843757137769,0.5857583157639249
46619,1,False,0.06712963548407894,0.5532161871103735
46620,0,True,4.664204645667109,19.15381455263045
46621,0,True,2.3321023228335545,9.576907276315225
46622,0,False,1.554734881889036,6.3846048508768165
46623,0,False,1.1660511614167772,4.788453638157613
46624,0,False,0.9328409291334218,3.83076291052609
46625,0,False,0.777367440944518,3.1923024254384083
46626,0,False,0.6663149493810155,2.73625922180435
46627,0,False,0.5830255807083886,2.3942268190788063
46628,0,False,0.5182449606296787,2.128201616958939
46629,0,False,0.4664204645667109,1.915381455263045
46630,0,False,0.42401860415155535,1.74125586842095
46631,0,False,0.388683720472259,1.5961512127192041
46632,0,False,0.35878497274362375,1.4733703502023425
46633,1,False,0.33315747469050777,1.368129610902175
46634,0,True,5.996887347391298,22.969420794652347
46635,0,True,2.998443673695649,11.484710397326173
46636,0,True,1.9989624491304328,7.656473598217449
46637,0,False,1.4992218368478245,5.742355198663087
46638,0,False,1.1993774694782595,4.593884158930469
46639,1,False,0.9994812245652164,3.8282367991087245
46640,0,True,2.485637445600604,13.093857113912371
46641,0,False,1.242818722800302,6.5469285569561855
